aop id,aop title,OECD status,taxonomic applicability,Evidence for human,Prototypical Stressors,Adjacent
Aop:130,Phospholipase A2 (LPLA2) inhibitors leading to hepatotoxicity,Under Development,sprague-Dawley.human,High,,
Aop:144,Endocytic lysosomal uptake leading to liver fibrosis,Under Review,"rat,mouse,human",High,"nanoparticles,ROS,o-methyl-serine dodecylamide hydrochloride (MSDH),3-aminopropanal,artesunate,Chloroquine bis(phosphate),Norfloxacin,Ciprofloxacin",
Aop:209,Perturbation of cholesterol and glutathione homeostasis leading to hepatotoxicity: Integrated multi-OMICS approach for building AOP,,,,Silica nanoparticles(no sepcificv for it),
Aop:213,Inhibition of fatty acid beta oxidation leading to nonalcoholic steatohepatitis (NASH),,,,,
Aop:220,Cyp2E1 Activation Leading to Liver Cancer,WPHA/WNT Endorsed,"rodent,human",Moderate,,
Aop:232,NFE2/Nrf2 repression to steatosis,,,,NFE2/Nrf2 repression,
Aop:27,Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11),Under Development,human,High,,
Aop:273,Mitochondrial complex inhibition leading to liver injury,,,,,
Aop:278,IKK complex inhibition leading to liver injury,,,,,
Aop:285,Inhibition of N-linked glycosylation leads to liver injury,,,,,
Aop:318,Glucocorticoid Receptor activation leading to hepatic steatosis,,,,,
Aop:32,"Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors",,mice,,,
Aop:34,LXR activation leading to hepatic steatosis,,,,,
Aop:36,Peroxisomal Fatty Acid Beta-Oxidation Inhibition Leading to Steatosis,,,,,
Aop:37,PPAR¦Á activation leading to hepatocellular adenomas and carcinomas in rodents,Under Development,"rat,mouse",,"pirinixic acid,Clofibrate,Bis(2-ethylhexyl) phthalate,Nafenopin,ciprofibrate,Gemfibrozil,PERFLUOROOCTANOIC ACID,Bezafibrate,Fenofibrate",
Aop:38,Protein Alkylation leading to Liver Fibrosis,WPHA/WNT Endorsed,"rat,human",High,"Allyl Alcohol,Carbon tetrachloride,Retinol,Dimethyl nitrosamine,Thioacetamide",
Aop:383,Inhibition of Angiotensin-converting enzyme 2 leading to liver fibrosis,Under Development,,,,
Aop:41,Sustained AhR Activation leading to Rodent Liver Tumours,Under Review,"rat,mouse",,,
Aop:423,Toxicological mechanisms of hepatocyte apoptosis through the PARP1 dependent cell death pathway,,,,,
Aop:494,AhR activation leading to liver fibrosis,,,,,
Aop:517,Pregnane X Receptor (PXR) activation leads to liver steatosis,,,,,
Aop:518,Liver X Receptor (LXR) activation leads to liver steatosis,,Vertebrate,,,
Aop:529,Perfluorooctanesulfonic acid (PFOS) binding to peroxisome proliferator-activated receptors (PPARs) causes dysregulation of lipid metabolism and subsequent liver steatosis,,"rat,mouse,Vertebrate,zebrafish",,,
Aop:57,AhR activation leading to hepatic steatosis,,mouse,,,
Aop:58,NR1I3 (CAR) suppression leading to hepatic steatosis,,"rat,mouse,human",Moderate,,
Aop:60,"NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis",,,,,
Aop:61,NFE2L2/FXR activation leading to hepatic steatosis,,,,,
Aop:62,AKT2 activation leading to hepatic steatosis,,,,,
Aop:107,Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat,Under Review,"rat,mouse",,"Phenobarbital,TCPOBOP,metofluthrin",
Aop:108,Inhibition of pyruvate dehydrogenase kinase leading to hepatocellular adenomas and carcinomas (in mouse and rat),,"rat,mouse",,,
Aop:117,Androgen receptor activation leading to hepatocellular adenomas and carcinomas (in mouse and rat),Under Development,"rat,mouse",,,
Aop:118,Chronic cytotoxicity leading to hepatocellular adenomas and carcinomas (in mouse and rat),,"rat,mouse",,,
