aop id,aop title,OECD status,taxonomic applicability,Evidence for human,Prototypical Stressors,Adjacent
Aop:105,Alpha2u-microglobulin cytotoxicity leading to renal tubular adenomas and carcinomas (in male rat),,rat,,,
Aop:128,Kidney dysfunction by decreased thyroid hormone,,"sprague-Dawley,human",,,
Aop:138,Organic anion transporter (OAT1) inhibition leading to renal failure and mortality,,"gyps...,monachus",,,
Aop:177,Cyclooxygenase 1 (COX1) inhibition leading to renal failure and mortality,,"gyps...,monachus",,"flunixin meglumine,
Ketoprofen,
Diclofenac sodium,
Clofibrate,
Indomethacin,
Ibuprofen,
Meloxicam,
Celecoxib,
nimesulide,
Phenylbutazone,
Carprofen",
Aop:186,unknown MIE leading to renal failure and mortality,,,,Diclofenac sodium,
Aop:256,Inhibition of mitochondrial DNA polymerase gamma leading to kidney toxicity,Under Development,"rat,mouse,human",High,"Tenofovir,
Tenofovir disoproxil fumarate,,
Adefovir,
Adefovir dipivoxil,
Cidofovir",
Aop:257,Receptor mediated endocytosis and lysosomal overload leading to kidney toxicity,Under Development,"rat,mouse,human...",High,"Aminoglycosides,
Gentamicin,
Tobramycin,
Vancomycin,
Polymyxin B,
Colistin,,
Albumin
low molecular weight proteins,
Cadmium",
Aop:258,Renal protein alkylation leading to kidney toxicity,Under Development,"rat,mouse,human",High,,
Aop:276,Inhibition of complex I of the electron transport chain leading to chemical induced Fanconi syndrome,,,,,
Aop:33,Kidney toxicity induced by activation of 5HT2C,,,,,
Aop:384,Hyperactivation of ACE/Ang-II/AT1R axis leading to chronic kidney disease,,,,,
Aop:413,Oxidation and antagonism of reduced glutathione leading to mortality via acute renal failure,,mice,,"Uranium,
Arsenic,
Bis(2,4,6-trimethylphenyl)-lambda~2~-germane--selenium (1/1)",
Aop:437,Inhibition of mitochondrial electron transport chain (ETC) complexes leading to kidney toxicity,Under Development,,,,
Aop:447,"Kidney failure induced by inhibition of mitochondrial electron transfer chain through apoptosis, inflammation and oxidative stress pathways",,,,"Uranium,soluble salts",
Aop:53,ER agonism leading to reduced survival due to renal failure,,,,,
