aop id,aop title,OECD status,taxonomic applicability,Evidence for human,Prototypical Stressors,Adjacent
Aop:136,Intracellular Acidification Induced Olfactory Epithelial Injury Leading to Site of Contact Nasal Tumors,Under Review,,,Vinyl acetate,
Aop:148,EGFR Activation Leading to Decreased Lung Function,Under Development,"rat,mouse,human",High,,
Aop:173,Substance interaction with the pulmonary resident cell membrane components leading to pulmonary fibrosis,WPHA/WNT Endorsed,"rat,mouse,human",High,"Bleomycin,Carbon nanotubes, Multi-walled carbon nanotubes, single-walled carbon nanotubes, carbon nanofibres",
Aop:196,Volatile Organic Chemicals Activate TRPA1 Receptor to Induce Sensory Pulmonary Irritation,,,,,
Aop:206,Peroxisome proliferator-activated receptors Œ€ inactivation leading to lung fibrosis,Under Development,human,High,,
Aop:241,Latent Transforming Growth Factor beta1 activation leads to pulmonary fibrosis,,,,Carbon nanotubes,
Aop:272,Deposition of energy leading to lung cancer,WPHA/WNT Endorsed,"rat,mouse,human",High,Ionizing Radiation,
Aop:302,Lung surfactant function inhibition leading to decreased lung function,Under Development,"rat,mouse,human",High,,
Aop:347,Toll-like receptor 4 activation and peroxisome proliferator-activated receptor gamma inactivation leading to pulmonary fibrosis,,,,,
Aop:377,Dysregulated prolonged Toll Like Receptor 9 (TLR9) activation leading to Multi Organ Failure involving Acute Respiratory Distress Syndrome (ARDS),,,,,
Aop:382,Angiotensin II type 1 receptor (AT1R) agonism leading to lung fibrosis,Under Development,,,,
Aop:39,"Covalent Binding, Protein, leading to Increase, Allergic Respiratory Hypersensitivity Response",Under Development,"mouse,human",High,Toluene diisocyanate,
Aop:411,Oxidative stress Leading to Decreased Lung Function,,,,,
Aop:424,Oxidative stress Leading to Decreased Lung Function via CFTR dysfunction,,human,High,"Acrolein,Ozone,Cigarette smoke",
Aop:425,Oxidative Stress Leading to Decreased Lung Function via Decreased FOXJ1,,human,High,Cigarette smoke,
Aop:451,Interaction with lung resident cell membrane components leads to lung cancer,,human,High,"Carbon black,nanoparticles,welding fumes,Diesel engine exhaust,nanomaterials,Titanium dioxide nanoparticles",
